War and Peace,Leo Tolstoy
Ulysses,James Joyce
Utopia,Sir Thomas Moor
Waste Land,T.S Eliot
Treasure Island,R.L. Stevenson
Time Machine,H.G Well
The Tempest,William Shakespeare
Romeo and Juliet,William Shakespeare
Macbeth,William Shakespeare
The Merchant of Venice,William Shakespeare
Mein Kamph,Adolf Hitler
The Great Gatsby,F. Scott Fitzgerald
A Tale of Two Cities,Charles Dickens
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry
Harry Potter and the Philosopher's Stone ,J. K. Rowling
And Then There Were None ,Agatha Christie
